type,value
total_protected_areas,"238,432"
total_terrestrial_protected_areas,"223,373"
total_marine_protected_areas,"15,059"
total_land_pa_coverage_percentage,14.97
total_land_area_protected,"20,202,743"
total_ocean_pa_coverage_percentage,7.68
total_ocean_area_protected,"27,841,368"
national_waters_pa_coverage_percentage,17.86
national_waters_pa_coverage_area,"25,223,215"
high_seas_pa_coverage_percentage,1.18
high_seas_pa_coverage_area,"2,618,153"
national_waters_percentage,39
global_ocean_percentage,61