iso3,ProtConn_B,protconn_categorical
ABNJ,0,0
AIA,0,0
"ARG,FLK",0,0
"ARG,SGS",0,0
"ARG,URY",0,0
ATA,0,0
"AUS,PNG",0,0
"AUS,TLS",0,0
BLM,0,0
BMU,0,0
"BRN,CHN,MYS,PHL,VNM",0,0
"CAN,USA",0,0
"CHN,IND",0,0
"CHN,JPN",0,0
"CHN,VNM",0,0
"COL,DOM",0,0
"COL,JAM",0,0
"CRI,ECU",0,0
"DJI,ERI",0,0
"DOM,PRI",0,0
"ECU,COL",0,0
"EGY,SDN",0,0
"ESH,MAR",0,0
"ESP,FRA",0,0
"ESP,MAR",0,0
"FRA,MDG",0,0
"FRO,GBR",0,0
"FRO,ISL",0,0
"GIB,ESP",0,0
"GUY,BRB",0,0
"HND,CYM",0,0
"IND,PAK",0,0
"IOT,MUS",0,0
"IRN,ARE",0,0
"ISL,SJM",0,0
"ITA,FRA",0,0
"JPN,KOR",0,0
"JPN,RUS",0,0
"JPN,TWN",0,0
"KEN,SDN",0,0
"KEN,SOM",0,0
MAC,0,0
MAF,0,0
MCO,0,0
"MYT,COM",0,0
"NCL,VUT",0,0
"NGA,STP",0,0
NRU,0,0
"PER,ECU",0,0
"PSE,ISR",0,0
"REU,MUS",0,0
"SDN,EGY",0,0
"SEN,GNB",0,0
SMR,0,0
SOM,0,0
"SSD,SDN",0,0
"SWE,NOR",0,0
SXM,0,0
TKL,0,0
"TTO,VEN,GUY",0,0
"USA,HTI,JAM",0,0
"USA,RUS",0,0
VAT,0,0
"VEN,ABW,DOM",0,0
"VEN,COL,DOM",0,0
WLF,0,0
TUR,0.0678571,0
AFG,0.093387428,0
LBY,0.126801283,0
LSO,0.239691592,0
FLK,0.330003307,0
SYR,0.381619266,0
MDV,0.474798651,0
MRT,0.532634863,0
CHN,0.541808162,0
BRB,0.56877369,0
COK,0.574980516,0
FSM,0.675510048,0
YEM,0.763789187,0
KAZ,0.851490606,0
UKR,0.876532001,0
BIH,0.99249409,0
IRQ,1.091886648,0
SDN,1.165884097,0
IND,1.170157601,0
PRK,1.227794296,0
DJI,1.332875764,0
SLB,1.468475341,0
JOR,1.505501413,0
RUS,1.505986836,0
GGY,1.603416947,0
TKM,1.606313187,0
VNM,1.639907519,0
PYF,1.671759283,0
MDG,1.689206998,0
OMN,1.701883797,0
ARG,1.730962778,0
SAU,1.736307277,0
LBN,1.76694693,0
FRO,1.815448619,0
PNG,1.862247221,0
UZB,1.949410567,0
MDA,2.060618387,0
IRN,2.121273633,0
AZE,2.201284311,0
LBR,2.3086403,0
NGA,2.448365229,0
ZAF,2.491421942,0
URY,2.505047088,0
AGO,2.540171564,0
IMN,2.586681263,0
CAN,2.666752062,0
SWZ,2.682758005,0
BLR,2.740872784,0
BGD,2.771698571,0
SRB,2.810786794,0
GMB,2.960929268,0
CPV,2.984513312,0
FJI,3.035250286,0
HTI,3.048738859,0
ERI,3.190352139,0
MUS,3.396572267,0
CMR,3.445112973,0
KGZ,3.529404163,0
MEX,3.58448161,0
PRI,3.708650671,0
VUT,3.721203706,0
COL,3.739522107,0
CHE,3.907763215,0
BDI,3.929179838,0
TUN,4.034993218,1
SLE,4.194698669,1
MMR,4.321443222,1
COD,4.414984778,1
GUY,4.523056403,1
GEO,4.544974819,1
MNG,4.613405682,1
DZA,4.714474974,1
PSE,4.890120788,1
ESH,4.957290583,1
PAK,5.15971286,1
BHR,5.198258973,1
GHA,5.201030313,1
SLV,5.325888393,1
KEN,5.406482177,1
CYM,5.445791306,1
AUS,5.461186065,1
SGP,5.467321323,1
WSM,5.489893912,1
SPM,5.49222911,1
NOR,5.554543938,1
LAO,5.674195423,1
RWA,5.709578496,1
SGS,5.748902278,1
MLI,5.91578242,1
THA,6.079263736,1
MYT,6.213296217,1
UGA,6.425603805,1
MNE,6.556377456,1
SSD,6.609764156,1
MKD,6.668071251,1
FIN,6.933831711,1
USA,7.0969846,1
MNP,7.105185606,1
DNK,7.266826658,1
EGY,7.270664122,1
CIV,7.286917106,1
CUB,7.330896661,1
BFA,7.688433692,1
VGB,7.892501449,1
ALB,8.192264983,2
ETH,8.229611204,2
PER,8.303263082,2
KOR,8.313572757,2
SWE,8.397625645,2
IRL,8.599669156,2
IDN,8.627970844,2
MOZ,8.815319988,2
GRD,8.897005172,2
ITA,8.938261885,2
EST,9.114069152,2
GNB,9.197211453,2
TLS,9.386206114,2
GAB,9.95219396,2
JAM,10.04801938,2
MYS,10.12542561,2
LTU,10.16401925,2
TON,10.32800587,2
CAF,10.4247343,2
LVA,10.55556717,2
GTM,10.57989914,2
TCD,10.59608056,2
ARE,10.73398752,2
PAN,10.76724189,2
BOL,10.84624662,2
MWI,10.85851706,2
NPL,10.88914378,2
MSR,10.933522,2
VIR,10.95783197,2
SUR,11.26680235,2
PRY,11.47954724,2
CZE,11.64366415,2
QAT,11.72471643,2
KHM,11.74510239,2
MHL,12.08399113,3
PRT,12.1537399,3
PHL,12.34636123,3
KWT,12.90736202,3
ECU,13.01062897,3
CUW,13.57874395,3
GNQ,13.66202895,3
GBR,13.66871395,3
CHL,13.89449647,3
HND,14.10514871,3
HUN,14.37157216,3
JPN,14.78067351,3
SEN,14.80035835,3
NER,14.83364206,3
TGO,15.2961244,3
JEY,15.51461631,3
ASM,15.57815605,3
CCK,15.59679685,3
KNA,15.75084116,3
ROU,15.88943786,3
ISL,16.49438442,3
NLD,16.84517383,3
NFK,16.93374779,3
DOM,17.26890616,4
LCA,17.3765041,4
CRI,17.53836931,4
PLW,17.65533835,4
MAR,17.8200842,4
GUM,18.1177507,4
BWA,18.13314556,4
ISR,18.26901048,4
BEN,18.32863381,4
ESP,18.42623605,4
TWN,18.53019332,4
BEL,18.71522101,4
ABW,19.23970939,4
ZMB,19.39566973,4
DMA,19.46141974,4
TJK,19.49308538,4
VCT,19.54200181,4
ZWE,19.64742042,4
GRC,19.84758974,4
FRA,19.97697009,4
BRA,20.19391032,4
ATG,20.2347792,4
BES,20.8457083,4
TZA,21.20827687,4
NIC,21.22482701,4
NIU,22.03593868,4
ARM,22.48724612,4
KIR,22.58689056,4
AND,23.96476233,4
AUT,24.00441694,4
TCA,24.11151478,4
SHN,24.34439187,4
MLT,24.74827922,4
LKA,24.88607807,4
GIN,25.18373513,5
TTO,25.86317972,5
NAM,27.38987093,5
SVK,28.10582358,5
NZL,28.36954674,5
COG,29.62043497,5
BHS,30.5220728,5
STP,31.19983159,5
GIB,31.27490773,5
COM,32.49901207,5
BLZ,32.50522844,5
HRV,34.09569616,5
VEN,34.18586569,5
DEU,34.65352497,5
HKG,35.14972087,5
BRN,36.08015644,5
CYP,36.46136932,5
BGR,36.83210221,5
POL,37.69560187,5
TUV,39.24993484,5
GRL,41.20074602,5
LIE,42.69887338,5
SYC,43.66827818,5
LUX,47.29655117,5
SJM,47.97979354,5
GUF,48.00002192,5
BTN,50.484421,5
SVN,51.95693536,5
BVT,55.55807771,5
NCL,56.07601327,5
PCN,58.07984713,5
CXR,60.7683302,5
REU,63.19359775,5
GLP,69.00041929,5
IOT,78.33324912,5
UMI,96.79110564,5
ATF,99.60929766,5
MTQ,99.99120146,5
HMD,100,5
